iso,year,gas,emissions_quantity,emissions_quantity_units
SDN,2018-01-01 00:00:00,n2o,122.558127,tonnes
SDN,2018-01-01 00:00:00,co2,921218.403,tonnes
SDN,2018-01-01 00:00:00,ch4,74467.707945,tonnes
SDN,2018-01-01 00:00:00,co2e_20yr,7208861.215908,tonnes
SDN,2018-01-01 00:00:00,co2e_100yr,3038792.129115,tonnes
SDN,2019-01-01 00:00:00,n2o,123.228274,tonnes
SDN,2019-01-01 00:00:00,co2,937470.047,tonnes
SDN,2019-01-01 00:00:00,ch4,76241.586079,tonnes
SDN,2019-01-01 00:00:00,co2e_20yr,7374295.541972,tonnes
SDN,2019-01-01 00:00:00,co2e_100yr,3104889.949822,tonnes
SDN,2020-01-01 00:00:00,n2o,108.039956,tonnes
SDN,2020-01-01 00:00:00,co2,821923.5659000000,tonnes
SDN,2020-01-01 00:00:00,ch4,76233.082193,tonnes
SDN,2020-01-01 00:00:00,co2e_20yr,7254025.018496000,tonnes
SDN,2020-01-01 00:00:00,co2e_100yr,2985080.4556440000,tonnes
SDN,2021-01-01 00:00:00,n2o,115.33039,tonnes
SDN,2021-01-01 00:00:00,co2,877386.1948,tonnes
SDN,2021-01-01 00:00:00,ch4,76237.164082,tonnes
SDN,2021-01-01 00:00:00,co2e_20yr,7311755.200648,tonnes
SDN,2021-01-01 00:00:00,co2e_100yr,3042589.3424460000,tonnes
NGA,2015-01-01 00:00:00,n2o,18.0399,tonnes
NGA,2015-01-01 00:00:00,co2,1634210.66,tonnes
NGA,2015-01-01 00:00:00,ch4,1216140.29378,tonnes
NGA,2015-01-01 00:00:00,co2e_20yr,103794757.87112,tonnes
NGA,2015-01-01 00:00:00,co2e_100yr,35690919.45934,tonnes
NGA,2016-01-01 00:00:00,n2o,18.499790000000000,tonnes
NGA,2016-01-01 00:00:00,co2,1749766.27,tonnes
NGA,2016-01-01 00:00:00,ch4,1237375.00028,tonnes
NGA,2016-01-01 00:00:00,co2e_20yr,105694150.23808,tonnes
NGA,2016-01-01 00:00:00,co2e_100yr,36401168.72219,tonnes
NGA,2017-01-01 00:00:00,n2o,19.065144,tonnes
NGA,2017-01-01 00:00:00,co2,1819522.49,tonnes
NGA,2017-01-01 00:00:00,ch4,1259049.029256,tonnes
NGA,2017-01-01 00:00:00,co2e_20yr,107584674.14552,tonnes
NGA,2017-01-01 00:00:00,co2e_100yr,37077947.572328,tonnes
NGA,2018-01-01 00:00:00,n2o,20.042368,tonnes
NGA,2018-01-01 00:00:00,co2,2184578.7760000000,tonnes
NGA,2018-01-01 00:00:00,ch4,1281184.429167,tonnes
NGA,2018-01-01 00:00:00,co2e_20yr,109809362.01118,tonnes
NGA,2018-01-01 00:00:00,co2e_100yr,38063054.020196,tonnes
NGA,2019-01-01 00:00:00,n2o,21.463655000000000,tonnes
NGA,2019-01-01 00:00:00,co2,2817086.906,tonnes
NGA,2019-01-01 00:00:00,ch4,1300846.454128,tonnes
NGA,2019-01-01 00:00:00,co2e_20yr,112093855.457672,tonnes
NGA,2019-01-01 00:00:00,co2e_100yr,39246475.490159,tonnes
NGA,2020-01-01 00:00:00,n2o,21.194314,tonnes
NGA,2020-01-01 00:00:00,co2,2781736.1780000000,tonnes
NGA,2020-01-01 00:00:00,ch4,1308170.4093360000,tonnes
NGA,2020-01-01 00:00:00,co2e_20yr,112673645.86112000,tonnes
NGA,2020-01-01 00:00:00,co2e_100yr,39416124.13261800,tonnes
NGA,2021-01-01 00:00:00,n2o,22.895564,tonnes
NGA,2021-01-01 00:00:00,co2,3005023.817,tonnes
NGA,2021-01-01 00:00:00,ch4,1308196.2608500000,tonnes
NGA,2021-01-01 00:00:00,co2e_20yr,112899554.15729600,tonnes
NGA,2021-01-01 00:00:00,co2e_100yr,39640586.44526,tonnes
TZA,2015-01-01 00:00:00,n2o,26.946250000000000,tonnes
TZA,2015-01-01 00:00:00,co2,351719.92,tonnes
TZA,2015-01-01 00:00:00,ch4,166888.519095,tonnes
TZA,2015-01-01 00:00:00,co2e_20yr,14377469.33398,tonnes
TZA,2015-01-01 00:00:00,co2e_100yr,5031739.21091,tonnes
TZA,2016-01-01 00:00:00,n2o,28.591430000000000,tonnes
TZA,2016-01-01 00:00:00,co2,490718.11,tonnes
TZA,2016-01-01 00:00:00,ch4,170696.73479,tonnes
TZA,2016-01-01 00:00:00,co2e_20yr,14836791.969880000,tonnes
TZA,2016-01-01 00:00:00,co2e_100yr,5277803.413070000,tonnes
TZA,2017-01-01 00:00:00,n2o,29.200815,tonnes
TZA,2017-01-01 00:00:00,co2,500357.364,tonnes
TZA,2017-01-01 00:00:00,ch4,172221.822566,tonnes
TZA,2017-01-01 00:00:00,co2e_20yr,14974699.474704,tonnes
TZA,2017-01-01 00:00:00,co2e_100yr,5330306.611823000,tonnes
TZA,2018-01-01 00:00:00,n2o,29.760125,tonnes
TZA,2018-01-01 00:00:00,co2,476642.603,tonnes
TZA,2018-01-01 00:00:00,ch4,174290.476721,tonnes
TZA,2018-01-01 00:00:00,co2e_20yr,15124899.320564000,tonnes
TZA,2018-01-01 00:00:00,co2e_100yr,5364662.384313000,tonnes
TZA,2019-01-01 00:00:00,n2o,30.80396,tonnes
TZA,2019-01-01 00:00:00,co2,509121.029,tonnes
TZA,2019-01-01 00:00:00,ch4,174298.298557,tonnes
TZA,2019-01-01 00:00:00,co2e_20yr,15158310.353228,tonnes
TZA,2019-01-01 00:00:00,co2e_100yr,5397636.437996,tonnes
TZA,2020-01-01 00:00:00,n2o,27.007264,tonnes
TZA,2020-01-01 00:00:00,co2,446370.0712,tonnes
TZA,2020-01-01 00:00:00,ch4,176332.774518,tonnes
TZA,2020-01-01 00:00:00,co2e_20yr,15265453.048408000,tonnes
TZA,2020-01-01 00:00:00,co2e_100yr,5390844.682664,tonnes
TZA,2021-01-01 00:00:00,n2o,28.829688,tonnes
TZA,2021-01-01 00:00:00,co2,476490.7036,tonnes
TZA,2021-01-01 00:00:00,ch4,176335.228119,tonnes
TZA,2021-01-01 00:00:00,co2e_20yr,15296260.903228000,tonnes
TZA,2021-01-01 00:00:00,co2e_100yr,5421516.958252,tonnes
KEN,2015-01-01 00:00:00,n2o,22.153449,tonnes
KEN,2015-01-01 00:00:00,co2,1350645.604,tonnes
KEN,2015-01-01 00:00:00,ch4,125639.444959,tonnes
KEN,2015-01-01 00:00:00,co2e_20yr,11910207.491092,tonnes
KEN,2015-01-01 00:00:00,co2e_100yr,4874420.726837,tonnes
KEN,2016-01-01 00:00:00,n2o,24.31842,tonnes
KEN,2016-01-01 00:00:00,co2,1325083.258,tonnes
KEN,2016-01-01 00:00:00,ch4,128707.363333,tonnes
KEN,2016-01-01 00:00:00,co2e_20yr,12142921.840852,tonnes
KEN,2016-01-01 00:00:00,co2e_100yr,4935333.812624000,tonnes
KEN,2017-01-01 00:00:00,n2o,36.151314,tonnes
KEN,2017-01-01 00:00:00,co2,1643665.924,tonnes
KEN,2017-01-01 00:00:00,ch4,131811.463208,tonnes
KEN,2017-01-01 00:00:00,co2e_20yr,12725372.780368,tonnes
KEN,2017-01-01 00:00:00,co2e_100yr,5343966.992034,tonnes
KEN,2018-01-01 00:00:00,n2o,34.67836,tonnes
KEN,2018-01-01 00:00:00,co2,1384492.8050000000,tonnes
KEN,2018-01-01 00:00:00,ch4,134843.960761,tonnes
KEN,2018-01-01 00:00:00,co2e_20yr,12720540.595964,tonnes
KEN,2018-01-01 00:00:00,co2e_100yr,5169313.471708,tonnes
KEN,2019-01-01 00:00:00,n2o,15.866877000000000,tonnes
KEN,2019-01-01 00:00:00,co2,921884.3364,tonnes
KEN,2019-01-01 00:00:00,ch4,137871.4373,tonnes
KEN,2019-01-01 00:00:00,co2e_20yr,12507273.925128,tonnes
KEN,2019-01-01 00:00:00,co2e_100yr,4786489.303205000,tonnes
KEN,2020-01-01 00:00:00,n2o,13.911229,tonnes
KEN,2020-01-01 00:00:00,co2,808258.8489,tonnes
KEN,2020-01-01 00:00:00,ch4,130269.739331,tonnes
KEN,2020-01-01 00:00:00,co2e_20yr,11754589.51716,tonnes
KEN,2020-01-01 00:00:00,co2e_100yr,4459498.025853,tonnes
KEN,2021-01-01 00:00:00,n2o,14.849945,tonnes
KEN,2021-01-01 00:00:00,co2,862799.3956,tonnes
KEN,2021-01-01 00:00:00,ch4,130275.819655,tonnes
KEN,2021-01-01 00:00:00,co2e_20yr,11809888.6321,tonnes
KEN,2021-01-01 00:00:00,co2e_100yr,4514457.581365,tonnes
DZA,2015-01-01 00:00:00,n2o,64.003079,tonnes
DZA,2015-01-01 00:00:00,co2,21211981.6,tonnes
DZA,2015-01-01 00:00:00,ch4,1867.08678,tonnes
DZA,2015-01-01 00:00:00,co2e_20yr,21385713.702376000,tonnes
DZA,2015-01-01 00:00:00,co2e_100yr,21281220.845775000,tonnes
DZA,2016-01-01 00:00:00,n2o,57.124815000000000,tonnes
DZA,2016-01-01 00:00:00,co2,21481025.58,tonnes
DZA,2016-01-01 00:00:00,ch4,1893.614366,tonnes
