name,iso,population,year,gas,emissions_quantity
Kenya,KEN,"56,645,588",2015-01-01 00:00:00,n2o,22.153449
Kenya,KEN,"56,645,588",2015-01-01 00:00:00,co2,1350645.604
Kenya,KEN,"56,645,588",2015-01-01 00:00:00,ch4,125639.444959
Kenya,KEN,"56,645,588",2015-01-01 00:00:00,co2e_20yr,11910207.491092
Kenya,KEN,"56,645,588",2015-01-01 00:00:00,co2e_100yr,4874420.726837
Kenya,KEN,"56,645,588",2016-01-01 00:00:00,n2o,24.31842
Kenya,KEN,"56,645,588",2016-01-01 00:00:00,co2,1325083.258
Kenya,KEN,"56,645,588",2016-01-01 00:00:00,ch4,128707.363333
Kenya,KEN,"56,645,588",2016-01-01 00:00:00,co2e_20yr,12142921.840852
Kenya,KEN,"56,645,588",2016-01-01 00:00:00,co2e_100yr,4935333.812624
Kenya,KEN,"56,645,588",2017-01-01 00:00:00,n2o,36.151314
Kenya,KEN,"56,645,588",2017-01-01 00:00:00,co2,1643665.924
Kenya,KEN,"56,645,588",2017-01-01 00:00:00,ch4,131811.463208
Kenya,KEN,"56,645,588",2017-01-01 00:00:00,co2e_20yr,12725372.780368
Kenya,KEN,"56,645,588",2017-01-01 00:00:00,co2e_100yr,5343966.992034
Kenya,KEN,"56,645,588",2018-01-01 00:00:00,n2o,34.67836
Kenya,KEN,"56,645,588",2018-01-01 00:00:00,co2,1384492.805
Kenya,KEN,"56,645,588",2018-01-01 00:00:00,ch4,134843.960761
Kenya,KEN,"56,645,588",2018-01-01 00:00:00,co2e_20yr,12720540.595964
Kenya,KEN,"56,645,588",2018-01-01 00:00:00,co2e_100yr,5169313.471708
Kenya,KEN,"56,645,588",2019-01-01 00:00:00,n2o,15.866877
Kenya,KEN,"56,645,588",2019-01-01 00:00:00,co2,921884.3364
Kenya,KEN,"56,645,588",2019-01-01 00:00:00,ch4,137871.4373
Kenya,KEN,"56,645,588",2019-01-01 00:00:00,co2e_20yr,12507273.925128
Kenya,KEN,"56,645,588",2019-01-01 00:00:00,co2e_100yr,4786489.303205
Kenya,KEN,"56,645,588",2020-01-01 00:00:00,n2o,13.911229
Kenya,KEN,"56,645,588",2020-01-01 00:00:00,co2,808258.8489
Kenya,KEN,"56,645,588",2020-01-01 00:00:00,ch4,130269.739331
Kenya,KEN,"56,645,588",2020-01-01 00:00:00,co2e_20yr,11754589.51716
Kenya,KEN,"56,645,588",2020-01-01 00:00:00,co2e_100yr,4459498.025853
Kenya,KEN,"56,645,588",2021-01-01 00:00:00,n2o,14.849945
Kenya,KEN,"56,645,588",2021-01-01 00:00:00,co2,862799.3956
Kenya,KEN,"56,645,588",2021-01-01 00:00:00,ch4,130275.819655
Kenya,KEN,"56,645,588",2021-01-01 00:00:00,co2e_20yr,11809888.6321
Kenya,KEN,"56,645,588",2021-01-01 00:00:00,co2e_100yr,4514457.581365
Algeria,DZA,"45,753,509",2015-01-01 00:00:00,n2o,64.003079
Algeria,DZA,"45,753,509",2015-01-01 00:00:00,co2,21211981.6
Algeria,DZA,"45,753,509",2015-01-01 00:00:00,ch4,1867.08678
Algeria,DZA,"45,753,509",2015-01-01 00:00:00,co2e_20yr,21385713.702376
Algeria,DZA,"45,753,509",2015-01-01 00:00:00,co2e_100yr,21281220.845775
Algeria,DZA,"45,753,509",2016-01-01 00:00:00,n2o,57.124815
Algeria,DZA,"45,753,509",2016-01-01 00:00:00,co2,21481025.58
Algeria,DZA,"45,753,509",2016-01-01 00:00:00,ch4,1893.614366
Algeria,DZA,"45,753,509",2016-01-01 00:00:00,co2e_20yr,21655170.137904
Algeria,DZA,"45,753,509",2016-01-01 00:00:00,co2e_100yr,21549184.858223
Algeria,DZA,"45,753,509",2017-01-01 00:00:00,n2o,57.884142
Algeria,DZA,"45,753,509",2017-01-01 00:00:00,co2,22594033.71
Algeria,DZA,"45,753,509",2017-01-01 00:00:00,ch4,2005.801172
Algeria,DZA,"45,753,509",2017-01-01 00:00:00,co2e_20yr,22777802.421936
Algeria,DZA,"45,753,509",2017-01-01 00:00:00,co2e_100yr,22665535.440446
Algeria,DZA,"45,753,509",2018-01-01 00:00:00,n2o,66.121342
Algeria,DZA,"45,753,509",2018-01-01 00:00:00,co2,26526002.37
